[WARN] [1773484880.161477195] [sim_fake_sensor_publisher]: Centerline CSV not found: /tmp/none.csv
[INFO] [1773484880.705144634] [sim_fake_sensor_publisher]: Map path ready. length=157.98 m, points=721
[INFO] [1773484880.776395581] [sim_fake_sensor_publisher]: Fake sensor publisher started. world_type=map, rates(lidar/imu/odom/state)=15.0/15.0/15.0/60.0 Hz
[INFO] [1773484880.776984572] [sim_fake_sensor_publisher]: Publish flags: scan=True, imu=False, odom=True, odom_tf=True
[INFO] [1773484880.777440729] [sim_fake_sensor_publisher]: Scan scheduler: threaded
[INFO] [1773484880.777861825] [sim_fake_sensor_publisher]: Odom scheduler: threaded
[INFO] [1773484880.778400173] [sim_fake_sensor_publisher]: Active scan params: range_max=30.00 m, angle_min/max=-135.0/135.0 deg, increment=1.000 deg
[INFO] [1773484880.778768142] [sim_fake_sensor_publisher]: Control mode: centerline s-progress (pure_pursuit forced OFF, waypoint_yaw forced OFF)
[INFO] [1773484880.779168631] [sim_fake_sensor_publisher]: Motion source: internal_path
[INFO] [1773484885.178818952] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=13.31, avg_gen=3.5ms, target=15.00Hz
[INFO] [1773484890.244548364] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.3ms, target=15.00Hz
[INFO] [1773484895.803734826] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=4.2ms, target=15.00Hz
[INFO] [1773484900.869680176] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.3ms, target=15.00Hz
[INFO] [1773484905.936358032] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.4ms, target=15.00Hz
[INFO] [1773484910.936348856] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.3ms, target=15.00Hz
[INFO] [1773484915.936289815] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.4ms, target=15.00Hz
[INFO] [1773484920.938325684] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=14.99, avg_gen=3.6ms, target=15.00Hz
[INFO] [1773484926.598560782] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773484931.598595522] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773484936.664977046] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773484941.731410790] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.6ms, target=15.00Hz
[INFO] [1773484946.797912698] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.5ms, target=15.00Hz
[INFO] [1773484951.865428764] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773484957.506239714] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773484962.572962387] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773484967.639874510] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773484972.705570350] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773484977.706029320] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773484982.707039522] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773484987.771729646] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.01, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773484993.286008046] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773484998.286822390] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.6ms, target=15.00Hz
[INFO] [1773485003.354546664] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=4.0ms, target=15.00Hz
[INFO] [1773485008.419561723] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.6ms, target=15.00Hz
[INFO] [1773485013.419995707] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.9ms, target=15.00Hz
[INFO] [1773485018.485832966] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.6ms, target=15.00Hz
