timestamp,elapsed_time,mode,mock,duty_cmd,measured_erpm,motor_rpm,wheel_rpm,vehicle_speed_mps,duty_now,motor_current,input_current,input_voltage,warning
1782473710.684749,0.000,hand-roll,True,0.00000,2.29,0.33,0.33,0.0017,0.00000,-0.041,0.011,15.915,near_zero
1782473710.734904,0.050,hand-roll,True,0.00000,199.64,28.52,28.52,0.1493,0.00000,-0.088,-0.043,16.114,positive_erpm
1782473710.785221,0.101,hand-roll,True,0.00000,443.42,63.35,63.35,0.3317,0.00000,0.116,0.059,16.130,positive_erpm
1782473710.835482,0.151,hand-roll,True,0.00000,603.00,86.14,86.14,0.4510,0.00000,-0.023,-0.026,15.990,positive_erpm
1782473710.885772,0.201,hand-roll,True,0.00000,803.97,114.85,114.85,0.6014,0.00000,0.044,0.046,15.925,positive_erpm
1782473710.935865,0.251,hand-roll,True,0.00000,934.32,133.47,133.47,0.6989,0.00000,-0.048,-0.014,15.738,positive_erpm
1782473710.985954,0.301,hand-roll,True,0.00000,1062.88,151.84,151.84,0.7950,0.00000,-0.021,-0.028,16.048,positive_erpm
1782473711.036037,0.351,hand-roll,True,0.00000,1210.67,172.95,172.95,0.9056,0.00000,0.006,-0.049,15.973,positive_erpm
1782473711.086118,0.401,hand-roll,True,0.00000,1260.75,180.11,180.11,0.9430,0.00000,-0.111,0.005,15.931,positive_erpm
1782473711.136195,0.452,hand-roll,True,0.00000,1219.19,174.17,174.17,0.9120,0.00000,-0.086,-0.022,16.066,positive_erpm
1782473711.186287,0.502,hand-roll,True,0.00000,1317.25,188.18,188.18,0.9853,0.00000,-0.024,0.050,15.998,positive_erpm
1782473711.236390,0.552,hand-roll,True,0.00000,1265.36,180.77,180.77,0.9465,0.00000,0.088,-0.015,15.834,positive_erpm
1782473711.286450,0.602,hand-roll,True,0.00000,1326.85,189.55,189.55,0.9925,0.00000,0.018,-0.022,16.039,positive_erpm
1782473711.336547,0.652,hand-roll,True,0.00000,1155.06,165.01,165.01,0.8640,0.00000,0.077,0.032,15.837,positive_erpm
1782473711.386629,0.702,hand-roll,True,0.00000,1281.63,183.09,183.09,0.9587,0.00000,0.113,0.031,15.941,positive_erpm
1782473711.436710,0.752,hand-roll,True,0.00000,1168.70,166.96,166.96,0.8742,0.00000,-0.037,-0.006,15.955,positive_erpm
1782473711.486789,0.802,hand-roll,True,0.00000,1305.96,186.57,186.57,0.9769,0.00000,0.099,-0.053,15.760,positive_erpm
1782473711.536872,0.852,hand-roll,True,0.00000,1289.28,184.18,184.18,0.9644,0.00000,0.019,0.032,16.120,positive_erpm
1782473711.586955,0.902,hand-roll,True,0.00000,1312.62,187.52,187.52,0.9818,0.00000,-0.002,0.042,16.078,positive_erpm
1782473711.637033,0.952,hand-roll,True,0.00000,1331.29,190.18,190.18,0.9958,0.00000,-0.022,0.046,16.037,positive_erpm
1782473711.687113,1.002,hand-roll,True,0.00000,1437.93,205.42,205.42,1.0756,0.00000,0.045,-0.034,16.012,positive_erpm
1782473711.737238,1.053,hand-roll,True,0.00000,1564.64,223.52,223.52,1.1704,0.00000,-0.049,-0.053,15.983,positive_erpm
1782473711.787327,1.103,hand-roll,True,0.00000,1741.46,248.78,248.78,1.3026,0.00000,-0.003,0.055,16.009,positive_erpm
1782473711.837512,1.153,hand-roll,True,0.00000,1894.14,270.59,270.59,1.4168,0.00000,-0.038,-0.043,15.982,positive_erpm
1782473711.887649,1.203,hand-roll,True,0.00000,2001.62,285.95,285.95,1.4972,0.00000,0.050,-0.037,15.971,positive_erpm
1782473711.937756,1.253,hand-roll,True,0.00000,2134.06,304.87,304.87,1.5963,0.00000,0.011,-0.039,15.819,positive_erpm
1782473711.987899,1.303,hand-roll,True,0.00000,2308.79,329.83,329.83,1.7270,0.00000,-0.040,-0.026,15.998,positive_erpm
1782473712.038039,1.353,hand-roll,True,0.00000,2452.87,350.41,350.41,1.8347,0.00000,0.072,0.051,15.990,positive_erpm
1782473712.088132,1.403,hand-roll,True,0.00000,2573.74,367.68,367.68,1.9252,0.00000,-0.119,-0.024,15.920,positive_erpm
1782473712.138241,1.454,hand-roll,True,0.00000,2692.75,384.68,384.68,2.0142,0.00000,-0.051,-0.042,16.027,positive_erpm
1782473712.188273,1.504,hand-roll,True,0.00000,2798.62,399.80,399.80,2.0934,0.00000,0.105,-0.028,15.841,positive_erpm
1782473712.238363,1.554,hand-roll,True,0.00000,2812.77,401.82,401.82,2.1039,0.00000,0.119,0.033,15.930,positive_erpm
1782473712.288442,1.604,hand-roll,True,0.00000,2871.31,410.19,410.19,2.1477,0.00000,0.088,-0.014,16.027,positive_erpm
