timestamp,elapsed_time,mode,mock,duty_cmd,measured_erpm,motor_rpm,wheel_rpm,vehicle_speed_mps,duty_now,motor_current,input_current,input_voltage,warning
1782472965.744438,0.000,hand-roll,True,0.00000,0.93,0.13,0.13,0.0007,0.00000,-0.096,-0.070,16.009,near_zero
1782472965.794489,0.050,hand-roll,True,0.00000,260.12,37.16,37.16,0.1946,0.00000,0.091,0.060,16.038,positive_erpm
1782472965.844620,0.100,hand-roll,True,0.00000,454.79,64.97,64.97,0.3402,0.00000,-0.104,-0.065,16.073,positive_erpm
1782472965.894714,0.150,hand-roll,True,0.00000,692.01,98.86,98.86,0.5176,0.00000,-0.121,-0.006,15.825,positive_erpm
1782472965.944776,0.200,hand-roll,True,0.00000,748.43,106.92,106.92,0.5598,0.00000,-0.056,-0.005,16.064,positive_erpm
1782472965.995109,0.251,hand-roll,True,0.00000,982.20,140.31,140.31,0.7347,0.00000,-0.024,-0.042,16.117,positive_erpm
1782472966.045219,0.301,hand-roll,True,0.00000,1080.83,154.40,154.40,0.8085,0.00000,0.105,-0.056,15.989,positive_erpm
1782472966.095325,0.351,hand-roll,True,0.00000,1178.50,168.36,168.36,0.8815,0.00000,-0.078,0.029,15.920,positive_erpm
1782472966.145662,0.401,hand-roll,True,0.00000,1313.73,187.68,187.68,0.9827,0.00000,-0.136,0.032,16.030,positive_erpm
1782472966.195755,0.451,hand-roll,True,0.00000,1300.94,185.85,185.85,0.9731,0.00000,0.092,-0.065,15.946,positive_erpm
1782472966.245857,0.502,hand-roll,True,0.00000,1341.42,191.63,191.63,1.0034,0.00000,0.137,-0.068,15.971,positive_erpm
1782472966.295965,0.552,hand-roll,True,0.00000,1333.05,190.44,190.44,0.9971,0.00000,0.146,0.013,16.004,positive_erpm
1782472966.346119,0.602,hand-roll,True,0.00000,1322.88,188.98,188.98,0.9895,0.00000,-0.022,-0.043,16.055,positive_erpm
1782472966.396157,0.652,hand-roll,True,0.00000,1243.13,177.59,177.59,0.9299,0.00000,0.060,0.039,15.861,positive_erpm
1782472966.446244,0.702,hand-roll,True,0.00000,1315.26,187.89,187.89,0.9838,0.00000,0.098,0.017,15.999,positive_erpm
1782472966.496363,0.752,hand-roll,True,0.00000,1235.47,176.50,176.50,0.9241,0.00000,-0.086,0.068,15.954,positive_erpm
1782472966.546473,0.802,hand-roll,True,0.00000,1241.26,177.32,177.32,0.9285,0.00000,-0.021,0.035,15.972,positive_erpm
1782472966.596766,0.852,hand-roll,True,0.00000,1258.19,179.74,179.74,0.9411,0.00000,-0.117,0.029,16.042,positive_erpm
1782472966.646854,0.903,hand-roll,True,0.00000,1333.54,190.51,190.51,0.9975,0.00000,0.084,-0.071,15.964,positive_erpm
1782472966.697025,0.953,hand-roll,True,0.00000,1406.12,200.87,200.87,1.0518,0.00000,0.088,-0.022,15.980,positive_erpm
1782472966.747076,1.003,hand-roll,True,0.00000,1466.80,209.54,209.54,1.0972,0.00000,-0.100,-0.026,15.991,positive_erpm
1782472966.797145,1.053,hand-roll,True,0.00000,1547.14,221.02,221.02,1.1573,0.00000,-0.150,-0.011,16.099,positive_erpm
1782472966.847311,1.103,hand-roll,True,0.00000,1669.92,238.56,238.56,1.2491,0.00000,0.086,0.067,15.810,positive_erpm
1782472966.897471,1.153,hand-roll,True,0.00000,1840.27,262.90,262.90,1.3765,0.00000,-0.041,-0.038,15.963,positive_erpm
1782472966.947582,1.203,hand-roll,True,0.00000,1990.20,284.31,284.31,1.4887,0.00000,-0.082,0.054,15.960,positive_erpm
1782472966.997642,1.253,hand-roll,True,0.00000,2130.29,304.33,304.33,1.5935,0.00000,-0.025,0.034,16.069,positive_erpm
1782472967.047794,1.303,hand-roll,True,0.00000,2288.48,326.93,326.93,1.7118,0.00000,0.111,-0.042,16.006,positive_erpm
1782472967.097906,1.354,hand-roll,True,0.00000,2440.01,348.57,348.57,1.8251,0.00000,-0.100,0.048,16.051,positive_erpm
1782472967.148027,1.404,hand-roll,True,0.00000,2614.59,373.51,373.51,1.9557,0.00000,-0.130,0.031,15.925,positive_erpm
1782472967.198075,1.454,hand-roll,True,0.00000,2726.69,389.53,389.53,2.0396,0.00000,0.071,0.052,15.962,positive_erpm
1782472967.248131,1.504,hand-roll,True,0.00000,2762.53,394.65,394.65,2.0664,0.00000,0.072,-0.045,15.955,positive_erpm
1782472967.298485,1.554,hand-roll,True,0.00000,2788.09,398.30,398.30,2.0855,0.00000,0.069,-0.025,15.948,positive_erpm
1782472967.348583,1.604,hand-roll,True,0.00000,2855.51,407.93,407.93,2.1359,0.00000,0.107,0.080,15.954,positive_erpm
1782472967.398666,1.654,hand-roll,True,0.00000,2777.84,396.83,396.83,2.0778,0.00000,0.057,0.040,15.950,positive_erpm
1782472967.448991,1.705,hand-roll,True,0.00000,2739.14,391.31,391.31,2.0489,0.00000,-0.015,0.006,16.079,positive_erpm
1782472967.499302,1.755,hand-roll,True,0.00000,2660.95,380.14,380.14,1.9904,0.00000,-0.024,-0.072,16.044,positive_erpm
1782472967.549560,1.805,hand-roll,True,0.00000,2565.50,366.50,366.50,1.9190,0.00000,-0.121,0.020,15.875,positive_erpm
1782472967.599631,1.855,hand-roll,True,0.00000,2474.38,353.48,353.48,1.8508,0.00000,-0.068,0.014,16.020,positive_erpm
1782472967.649719,1.905,hand-roll,True,0.00000,2359.50,337.07,337.07,1.7649,0.00000,-0.062,0.036,15.943,positive_erpm
1782472967.699782,1.955,hand-roll,True,0.00000,2191.86,313.12,313.12,1.6395,0.00000,-0.098,-0.023,15.959,positive_erpm
1782472967.749932,2.006,hand-roll,True,0.00000,2037.60,291.09,291.09,1.5241,0.00000,-0.101,-0.025,16.068,positive_erpm
1782472967.799957,2.056,hand-roll,True,0.00000,1991.30,284.47,284.47,1.4895,0.00000,0.090,-0.052,16.226,positive_erpm
1782472967.850062,2.106,hand-roll,True,0.00000,1850.29,264.33,264.33,1.3840,0.00000,0.050,0.042,16.052,positive_erpm
1782472967.900145,2.156,hand-roll,True,0.00000,1810.66,258.67,258.67,1.3544,0.00000,0.043,-0.030,16.064,positive_erpm
1782472967.950227,2.206,hand-roll,True,0.00000,1800.95,257.28,257.28,1.3471,0.00000,0.114,-0.026,16.057,positive_erpm
1782472968.000317,2.256,hand-roll,True,0.00000,1786.35,255.19,255.19,1.3362,0.00000,-0.017,-0.003,16.036,positive_erpm
1782472968.050400,2.306,hand-roll,True,0.00000,1720.09,245.73,245.73,1.2866,0.00000,0.121,0.010,15.942,positive_erpm
