timestamp,elapsed_time,mode,mock,duty_cmd,measured_erpm,motor_rpm,wheel_rpm,vehicle_speed_mps,duty_now,motor_current,input_current,input_voltage,warning
1782479018.848499,0.001,duty,False,0.00000,0.00,0.00,0.00,0.0000,0.00000,0.000,0.000,15.800,
1782479018.898622,0.052,duty,False,0.00167,-26.00,-3.71,-0.34,-0.0018,-0.00100,-0.020,0.000,15.800,
1782479018.948462,0.101,duty,False,0.00334,-15.00,-2.14,-0.19,-0.0010,-0.00300,0.020,0.000,15.800,
1782479018.998457,0.151,duty,False,0.00501,0.00,0.00,0.00,0.0000,0.00500,0.000,0.000,15.800,
1782479019.048915,0.202,duty,False,0.00668,7.00,1.00,0.09,0.0005,0.00600,0.140,0.000,15.800,
1782479019.098673,0.252,duty,False,0.00835,10.00,1.43,0.13,0.0007,0.00800,0.190,0.000,15.800,
1782479019.148852,0.302,duty,False,0.01002,0.00,0.00,0.00,0.0000,0.01000,0.340,0.000,15.800,dropout
1782479019.198818,0.352,duty,False,0.01169,2.00,0.29,0.03,0.0001,-0.01100,0.390,0.000,15.800,dropout
1782479019.248902,0.402,duty,False,0.01336,5.00,0.71,0.06,0.0003,0.01300,0.310,0.000,15.800,dropout
1782479019.299402,0.452,duty,False,0.01503,6.00,0.86,0.08,0.0004,0.01500,0.440,0.000,15.800,dropout
1782479019.349087,0.502,duty,False,0.01670,19.00,2.71,0.25,0.0013,-0.01600,0.450,0.000,15.800,dropout
1782479019.399153,0.552,duty,False,0.01837,97.00,13.86,1.26,0.0066,0.01800,0.930,0.000,15.800,
1782479019.449405,0.602,duty,False,0.02004,228.00,32.57,2.96,0.0155,0.02000,0.790,0.000,15.800,
1782479019.499502,0.652,duty,False,0.02171,184.00,26.29,2.39,0.0125,0.02100,1.000,0.010,15.800,
1782479019.550025,0.703,duty,False,0.02338,205.00,29.29,2.66,0.0139,0.02300,0.620,0.000,15.800,
1782479019.599759,0.753,duty,False,0.02505,184.00,26.29,2.39,0.0125,0.02500,0.680,0.010,15.800,
1782479019.649908,0.803,duty,False,0.02672,150.00,21.43,1.95,0.0102,0.02600,1.770,0.030,15.800,
1782479019.699781,0.853,duty,False,0.02839,369.00,52.71,4.79,0.0251,0.02800,1.930,0.030,15.800,
1782479019.750155,0.903,duty,False,0.03007,407.00,58.14,5.29,0.0277,0.03000,1.430,0.020,15.800,
1782479019.800169,0.953,duty,False,0.03174,504.00,72.00,6.55,0.0343,0.03100,2.230,0.040,15.800,
1782479019.851041,1.004,duty,False,0.03341,482.00,68.86,6.26,0.0328,0.03300,2.090,0.040,15.800,
1782479019.900831,1.054,duty,False,0.03508,610.00,87.14,7.92,0.0415,0.03500,1.610,0.030,15.800,
1782479019.951025,1.104,duty,False,0.03675,558.00,79.71,7.25,0.0379,0.03600,1.990,0.040,15.700,
1782479020.001286,1.154,duty,False,0.03842,656.00,93.71,8.52,0.0446,0.03800,1.570,0.040,15.800,
1782479020.051222,1.204,duty,False,0.04008,719.00,102.71,9.34,0.0489,0.04000,1.670,0.040,15.800,
1782479020.101071,1.254,duty,False,0.04175,871.00,124.43,11.31,0.0592,0.04100,1.480,0.040,15.800,
1782479020.151086,1.304,duty,False,0.04342,1001.00,143.00,13.00,0.0681,0.04300,1.600,0.040,15.800,
1782479020.201665,1.355,duty,False,0.04510,1132.00,161.71,14.70,0.0770,0.04500,1.600,0.040,15.800,
1782479020.252188,1.405,duty,False,0.04678,1245.00,177.86,16.17,0.0847,0.04600,1.620,0.050,15.700,
1782479020.302164,1.455,duty,False,0.04845,1405.00,200.71,18.25,0.0955,0.04800,1.670,0.050,15.800,
1782479020.351923,1.505,duty,False,0.05000,1528.00,218.29,19.84,0.1039,0.04900,1.620,0.050,15.700,
1782479020.402158,1.555,duty,False,0.05000,1640.00,234.29,21.30,0.1115,0.04900,1.570,0.050,15.800,
1782479020.451831,1.605,duty,False,0.05000,1774.00,253.43,23.04,0.1206,0.04900,1.390,0.040,15.800,
1782479020.502111,1.655,duty,False,0.05000,1840.00,262.86,23.90,0.1251,0.04900,1.320,0.040,15.700,
1782479020.553090,1.706,duty,False,0.05000,1889.00,269.86,24.53,0.1285,0.04900,1.360,0.040,15.700,
1782479020.602241,1.755,duty,False,0.05000,1931.00,275.86,25.08,0.1313,0.04900,1.180,0.030,15.700,
1782479020.652369,1.805,duty,False,0.05000,1909.00,272.71,24.79,0.1298,0.04900,1.330,0.040,15.700,
1782479020.702463,1.855,duty,False,0.05000,1937.00,276.71,25.16,0.1317,0.04900,1.210,0.030,15.800,
1782479020.752518,1.905,duty,False,0.05000,1969.00,281.29,25.57,0.1339,0.04900,1.270,0.040,15.800,
1782479020.802787,1.956,duty,False,0.05000,1953.00,279.00,25.36,0.1328,0.04900,1.200,0.030,15.800,
1782479020.852991,2.006,duty,False,0.05000,1991.00,284.43,25.86,0.1354,0.04900,1.290,0.040,15.800,
1782479020.903489,2.056,duty,False,0.05000,2016.00,288.00,26.18,0.1371,0.04900,1.200,0.030,15.800,
1782479020.952913,2.106,duty,False,0.05000,1989.00,284.14,25.83,0.1353,0.04900,1.200,0.030,15.800,
1782479021.003114,2.156,duty,False,0.05000,2000.00,285.71,25.97,0.1360,0.04900,1.330,0.040,15.800,
1782479021.053871,2.207,duty,False,0.05000,2008.00,286.86,26.08,0.1365,0.04900,1.390,0.040,15.700,
1782479021.102991,2.256,duty,False,0.05000,1963.00,280.43,25.49,0.1335,0.04900,1.200,0.040,15.800,
1782479021.153439,2.306,duty,False,0.05000,1991.00,284.43,25.86,0.1354,0.05000,1.300,0.040,15.700,
1782479021.203720,2.357,duty,False,0.05000,2013.00,287.57,26.14,0.1369,0.04900,1.210,0.030,15.800,
1782479021.254331,2.407,duty,False,0.05000,1997.00,285.29,25.94,0.1358,0.04900,1.230,0.030,15.800,
1782479021.303751,2.457,duty,False,0.05000,2021.00,288.71,26.25,0.1374,0.04900,1.210,0.030,15.700,
1782479021.353639,2.507,duty,False,0.05000,2036.00,290.86,26.44,0.1384,0.04900,1.140,0.030,15.800,
1782479021.404418,2.557,duty,False,0.05000,2005.00,286.43,26.04,0.1363,0.04900,1.200,0.030,15.800,
1782479021.453776,2.607,duty,False,0.05000,1992.00,284.57,25.87,0.1355,0.04900,1.250,0.040,15.800,
1782479021.504184,2.657,duty,False,0.05000,2004.00,286.29,26.03,0.1363,0.04900,1.100,0.030,15.700,
1782479021.553980,2.707,duty,False,0.05000,1975.00,282.14,25.65,0.1343,0.04900,1.220,0.030,15.800,
