timestamp,elapsed_time,mode,mock,duty_cmd,measured_erpm,motor_rpm,wheel_rpm,vehicle_speed_mps,duty_now,motor_current,input_current,input_voltage,warning
1782477721.418152,0.001,hand-roll,False,0.00000,0.00,0.00,0.00,0.0000,0.00000,0.000,0.000,16.000,near_zero
1782477721.468263,0.051,hand-roll,False,0.00000,0.00,0.00,0.00,0.0000,0.00000,0.000,0.000,16.100,near_zero
1782477721.518652,0.101,hand-roll,False,0.00000,0.00,0.00,0.00,0.0000,0.00000,0.000,0.000,16.000,near_zero
1782477721.569044,0.152,hand-roll,False,0.00000,0.00,0.00,0.00,0.0000,0.00000,0.000,0.000,16.000,near_zero
1782477721.618816,0.201,hand-roll,False,0.00000,0.00,0.00,0.00,0.0000,-0.00100,0.000,0.000,16.000,near_zero
1782477721.668906,0.251,hand-roll,False,0.00000,0.00,0.00,0.00,0.0000,0.00000,0.000,0.000,16.000,near_zero
1782477721.719004,0.301,hand-roll,False,0.00000,0.00,0.00,0.00,0.0000,0.00000,0.000,0.000,16.000,near_zero
1782477721.768969,0.351,hand-roll,False,0.00000,0.00,0.00,0.00,0.0000,0.00000,0.000,0.000,16.000,near_zero
1782477721.819037,0.402,hand-roll,False,0.00000,0.00,0.00,0.00,0.0000,0.00000,0.000,0.000,16.000,near_zero
1782477721.869270,0.452,hand-roll,False,0.00000,0.00,0.00,0.00,0.0000,0.00000,0.000,0.000,16.100,near_zero
1782477721.919225,0.502,hand-roll,False,0.00000,0.00,0.00,0.00,0.0000,0.00000,0.000,0.000,16.000,near_zero
1782477721.969336,0.552,hand-roll,False,0.00000,0.00,0.00,0.00,0.0000,-0.00100,0.000,0.000,16.000,near_zero
1782477722.019355,0.602,hand-roll,False,0.00000,0.00,0.00,0.00,0.0000,0.00000,0.000,0.000,16.000,near_zero
1782477722.069434,0.652,hand-roll,False,0.00000,0.00,0.00,0.00,0.0000,0.00000,0.000,0.000,16.000,near_zero
